Unnamed: 0,Company,Title,Career,Mainjob,Qualified,Preference,Welfare,Skill,Tag,Deadline,Location,URL
0,원티드,프로,,데이터 문제 정의 가설 설정 해결 제안 요구사항 작성 원티드 앱웹 서비스 기획 실행 이해관계자 개발 디자인 배포 운영 임팩트 고려 프로덕트 전략 로드맵 지표 설정 순위 관리,자격 요건 이력서 포트폴리오 담당 프로젝트 문제 정의 가설 해결 정량 결과 서비스 기획 정량 정성 데이터 제품 문제 파악 지표 개선 사업 마케팅 데이터 커뮤니케이션 원티드 기업 문화,우대 사항 성과 조직 근무 데이터 추출 분석 스타트업 사업 제품 기획 협업 도구 프로토타입 사용 성형 활용 서비스 개발 관련 기술 이해,혜택 복지 원티드 신규 입사 만족도 생산 성과 몰입도 위해 근무 문화 재택근무 도입 포지션 빈도 상이 선택 근로 시간제 통해 자율성 수준 몰입 임팩트 맛집 롯데 월드 타워 위치 롯데 포인트 포인트 효율 몰입 재택 근무 포지션 빈도 상이 선택 근로시간 제도 운영 시시 코어 타임 모션 데스크 트리플 모니터 집중 공간 자율 좌석 원티드 플래닛 최신 사양 장비 최신 장비 포함 기별 장비 교체 팀별 케이 전사 수립 공유 효과 효율 관리 미팅 통해 협업 정보 공유 조직 문화 베이 시행 환경 제도 도화성 계발 외부 컨퍼런스 교육 참석 관련 자격증 취득 비용 스터디 그룹 운영 도서 구입 콘텐츠 구독 식비 기술 블로그 콘텐츠 작성 제도 성장 관련 도서 구매 무제한 커리어 성장 제도 파격 인상 기회 커리어 성장 설계 동기부여 리더 구성원 빌딩 리더십 조직 문화 활성화 교육 프로그램 건강 생활 서울 대표 랜드마크 롯데 월드 타워 위치 사무실 롯데 포인트 식대 사용 범용 마음 프로그램 운영 전문가 심리 상담 진단 해석 프로그램 건강 검진 인플루엔자 예방접종 직원 할인 가로 가족 건강검진 축구 꽃꽂이 러닝 등산 보드게임 원티드 클럽 운영 주택 마련 자금 이자 대출 한도 주의 유급 휴가 명절 연휴 전날 생일 조기 퇴근 명절 선물 스스로 계획 사용 휴가 제도 운영 임산부 구성원 교통비 자가용 대중교통 경조 휴가 이력서 제출 원티드 이력서 파일 제출 이력서 현재 희망 직무 무관 개인정보 기재,,장비 건강검진 휴가 대지 재택근무 커피 스낵바 상위 설립 선도 기업,마감 일상 채용,송파구 올림픽로 롯데 월드 타워,https://www.wanted.co.kr/wd/226335
1,한화 생명보험,부문 서비스 기획,,담당 금융 금융 플랫폼 기획 운영 사업 이해관계자 서비스 요구사항 수집 분석 제품 기획 디자인 개발 요구사항 정리 구성원 구현 제품 개선 위해 데이터 분석 가설 수립 검증 절차 채용 류지원 실무 면접 임원 면접 처우 협의 입사,자격 요건 분과 학력 대졸 학사 유사 보유 사용자 제품 유관 부서 요구사항 정리 제품 구현 액션 아이템 도출 제품 구현 기술 이해도 바탕 유관 부서 협업 긍정 마인드 적극 커뮤니케이션,우대 사항 우대 서비스 기획 운영 제품 기획 출시 운영 개선 전체 사이클 주도 보신 계좌 펀드 보험 금융 서비스 기획,혜택 복지 사항 처우 내규 개별 협상 년수 별도 협의 예정 원서 기재 오류 누락 발생 주의 오류로 전형 과정 불이익 부정 채용 청탁 사실 인지 부정 행위 의심 경우 합격 취소 보험 업법 금융 관계 법률 주요 범죄 사실 채용 결격 사유 규정 관련 제출 서류 주요 이력 인적 사항 거짓 경우 합격 취소 원서 기재 사항 제출 서류 사실 입사 증빙 제출 경우 채용 합격 취소 전형 결과 통보 이메일 이메일 주소 휴대전화 번호 기재 시기 당사 최종 면접 합격자 개인정보 동의 평판 신용 조회 진행 결과 불합격 진행 협조 부탁,,유망 산업 상위 설립 선도 기업,마감,서울특별시 영등포구 한화 생명 빌딩,https://www.wanted.co.kr/wd/224400
2,에이 블리 코퍼레이션,프로,,엔지니어 디자이너 데이터 분석 구성 스쿼드 리드 시장 유저 제품 정량 정성 이해 바탕 제품 방향성 제시 가설 수립 실험 통해 가설 검증 제품 고도화,자격 요건 협업 부서 유저 기술 비즈니스 측면 커뮤니케이션 테스트 사용자 인터뷰 통해 합리 의사 결정 에이 블리 조직 문화 이해 주도 진행 논리 커뮤니케이션,우대 사항 여성 의류 플랫폼 패션 커머스 분야 이해도 애자 조직 제품 개발 프로세스 프로세스 직접 수립 창업 채용 절차 서류 합격 직무 인터뷰 최종 인터뷰 최종 합격,혜택 복지 프로 페셔널 위해 몰입 최고 환경 위치 신논현역 거리 교보 타워 유연근무제 사이 시차 출근 밀러 의자 최신 장비 근무 환경 스마트 그린 시스템 외근 야근 택시 카페 라운지 휴식 공간 집중 포커스 보상 성장 업계 최고 수준 인상 조정 경쟁력 보상 스톡옵션 기회 부여 포괄 임금 운영 성장 성과 전사 보상 교육 세미나 사내 도서관 운영 경조사 기념일 명절 선물 휴식 에너지 연말 일주일 레쉬 휴가 휴가 본인 승인 단위 휴가 사용 건강검진 패키지 휴가 점심 저녁 식사 고급 원두 커피 캡슐 커피 과일 스낵 무제한 간식,,커피 스낵바 유연 근무 보너스 건강검진 산업 기능 육아휴직 대지 휴가 워크샵 상위 설립 아시아 태평양 성장 스톡옵션 인원 성장 선도 기업,마감 일상 채용,서울특별시 서초구 강남대로 교보 타워,https://www.wanted.co.kr/wd/171712
3,,텀블벅,,고객 시장 분석 프로 목표 설정 로그 로드맵 구체화 실행 액션 아이템 추진 정책 요구사항 정의 결과 도출 협업 개발 프로세스 제품 성장 드라이브 가설 수립 실험 통해 도출 데이터 인사이트 프로덕트 의사결정 사업 운영 유관 부서 소통 프로덕트 변화 영향 미리 파악 계획 성과 공유,자격 요건 서비스 보유 데이터 시장 조사 바탕 가설 설정 실험 성과 애자 스크럼 환경 엔지니어 디자이너 마케터 협업 제품 관리 보신 스스로 제품 목표 전략 설정 논리 구두 문서 소통 바탕 협업 진행 보신 창조 시도 텀블벅 미션 깊이 이해 제품 기회 탐색 제품 사용 기술 가능성 리스크 이해 창작 생태계 이해 바탕 제품 판단,우대 사항 서브컬처 창작 우드 펀딩 텀블벅 이해 콘텐츠 커뮤니티 플랫폼 제품 초기 단계 참여 성공 프로덕트 성장,혜택 복지 건강검진 본인 직계 가족 인의 실손 의료 보험 결재 승인 단위 휴가 장기 근속 포상 휴가 년년년 근무 휴가 비만 유급 휴가 일일일 구성원 성장 진심 한도 교육비 도서 자사 서비스 이용 구성원 할인 아이디 어스 레이스 서교 브런치 카페 상시 할인 개인 생활 패턴 자율 출퇴근 출근 님문화 존댓말 서로 존중 커뮤니케이션 전사 주요 이슈 경영 진의 보이스 직접 타운 미팅 수평 정보 공유 참여 전사 트래킹 회의 오픈 채널 축하 위로 순간 기쁨 슬픔 최고 수준 경조 결혼 휴가 워킹 데이 상조 서비스 등기 최신 장비 단위 교체 안마 의자,,건강검진 유연 근무 대지 자기계발 휴가 비유 휴가 편의 설명 설립 누적 투자 선도 기업 상위,마감 일상 채용,서울특별시 서초구 서초대로,https://www.wanted.co.kr/wd/236596
4,카카오 뱅크,서비스 기획 투자,,모바일 서비스 플랫폼 기획 프로세스 화면 세부 설계 프로젝트 구축 진행 데이터 분석 서비스 운영,자격 요건 모바일 서비스 기획 기본 이해 바탕 유저 시나리오 유스 케이스 설계 서비스 설계 구축 출시 모든 프로세스 기여 도로 도전 문제 해결 위해 방법 먼저 직무 유관 부서 커뮤니케이션 회사 안팎 이해관계자 커뮤니케이션,우대 사항 포털 커머스 고객 플랫폼 서비스 기획 서비스 안정 운영 위해 문제 정의 기획 평소 투자 서비스 플랫폼 관심 투자 도메인 이해 공통 우대 사항 국가 유공 장애인 취업 보호대 상자 관계 법령 우대 입사 증빙 서류 첨부 경우 해당 증빙 서류 포트폴리오 첨부,혜택 복지 스스로 성장 고민 주도 마일리지 만원 사내 교육 진행 휴식 균형 응원 근속 휴가 유급 안식 휴가 만원 별도 유연 근로시간 제도 연차 사용 연차 단체 상해 보험 가입 의료 본인 배우자 자녀 부모 배우자 부모 건강검진 매년 가족 경조사 장례 서비스 카카오 뱅크 가족 자녀 교육비 고등학교 대학교 실비 학자금 유아 원금 회사 어린이집 대출 이자 제도 환경 영어 호칭 사내 카페테리아 매점 스탠딩 책상 유연 근무 테크 금융,,편의 시설 의료 건강검진 어린이 휴가 자기계발 유연 근무 유급 휴가 복지 포인트 상위 설립 유망 산업 선도 기업인,마감 일상 채용,도로명 경기도 성남시 분당구 분당내곡로 판교 테크 타워 타워,https://www.wanted.co.kr/wd/236764
5,토스 엑스,,,구성원 몰입 공간 사용 장비 토스 엑스 근무 환경 최적 상태 유지 외부 트렌드 파악 기존 방식 답습 적용 위해 연구 소모품 구매 정리 생활 밀착 구매 계약 자산 관리 인테리어 공사 기획 한계 수행,자격 요건 총무 노하우 주도 태도 직접 기획 실행 사고 적극성 실행 관리자 파트너 로서 마음 소통 역할,우대 사항 고객 서비스 조직 특성 이해 더욱 조직 정의 더욱,혜택 복지 자율 책임 문화 토스 엑스 정보 공유 수평 문화 구성원 위임 신뢰 바탕 세상 변화 효율 방식 가장 영향 집중 획일 프로세스 데이터 사고 적극 토론 가장 효율 문제 해결 위해 협업 실행 동료 분야 최고 수준 인재 자율 책임 원칙 아래 발휘 자율 효율 근무 환경 자율 출퇴근 제도 자율 휴가 재택근무 성장 관련 비용 최고급 장비 소프트웨어 기별 성과급 매월 통신비 체력 명절 상여금 생일 축하 직장 단체 보험 가족 포함 사비 인재 추천 만원 회사 법인 카드 전원 점심 저녁 식사 비용 야간 교통비 사내 카페 커피 무료 이용 사내 편의점 헤어 살롱 복지 시설 무료 이용,,통신비 보너스 커피 스낵바 편의 시설 단체 보험 재택근무 업계 평균 성장 설립,마감,서울특별시 강남구 테헤란로 역삼동 한국 타이어 빌딩,https://www.wanted.co.kr/wd/235051
6,브로스 똑닥,서비스 기획,,서비스 고도화 신규 서비스 기획 프로젝트 매니저 로서 역할 수행,자격 요건 서비스 기획 운영 유관 부서 커뮤니케이션 보유,우대 사항 문제 정의 해결 방안 도출 과정 성취 요구사항 분석 기획 런칭 과정 논리 대화 체계 문서 화가,혜택 복지 브로스 오피스 문화 근무 자율 선택 사무실 부스터 공간 몰입 시차 출퇴근 사이 부스터 라이프스타일 조절 호칭 사용 호칭 사용 소통 문화 지향 브로스 모든 정보 방향 부스터 공유 휴가 승인 제도 휴가 승인 휴식 눈치 보지 사용 법정 연차 휴가 연장 근무 보상 휴가 유아 검진 생일 차도 브로스 환경 최신 장비 부스터 집중 최신 장비 사내 무제한 스낵바 과일 간식 음료 에너지 관련 모든 한번 확인 협업 사용 부스터 사용 생산 높이 사내 카페 한강 카페 커피 여유 렉스 타임 안마 기계 공간 피로 회복 세라 비비 브로스 복지 혜택 선택 복리 후생 행복 방법 만원 자기계발 성장 어학 운동 만원 교육비 부스터 성장 도움 방법 만원 삼시 고민 여의도 고민 필요 메뉴 선택 건강검진 본인 배우자 포함 장기 근속 포상 부스터 선물 근속 휴가 포상 도서 구입 성장 도움 도서 신청 무제한 신청 사항 취업 보호대 상자 국가 유공 장애인 입사 증빙 서류 첨부 경우 관계 법령 국가 유공 법률 장애인 고용 촉진 직업 재활 우대 특정 포지션 사전 과제 전형 진행 채용 과정 입사 기재 내용 사실 경우 입사 취소 수도,,커피 스낵바 편의 시설 자기계발 건강검진 유연 근무 상위 설립,마감 일상 채용,서울특별시 영등포구 여의대로 여의도동 파크원 타워,https://www.wanted.co.kr/wd/237299
7,페이,프로 매니저,신입,데이터 수집 분석 사용자 요구사항 만듭니 문제 인식 정의 데이터 사용자 관점 가설 설정 해결 제안 서비스 기획 이해관계자 개발 배포 유지 보수 운영 작성 로드맵 목표 달성,자격 요건 스스로 출시 서비스 프로 발전 다발 실행 여러 순위 이해 관계자 이해 글쓰기 보유 관심,우대 사항 그룹 합리 의사 결정 리지 오늘밤 더욱 번의 노력 여러 성과 더욱 하드웨어 포함 서비스 프로덕트 더욱,혜택 복지 페이 히어 근무 환경 오전 시시 사이 자율 출퇴근 본인 일정 관리 별도 승인 절차 자율 가제 운영 일리 미팅 스프린트 회고 타운 미팅 기적 진행 최고급 장비 커피 제로 콜라 음료 과일 스낵 간식 무제한 페이 가맹 방문 원금 점심 식사 저녁 식사 매년 종합 건강 검진 생일 소정 선물 경조사 페이 성장 계발 성장 비용 도서 세미나 교육 회사 개인 주도 환경 성장 기회,,커피 스낵바 산업 기능 요원 설립 누적 투자 보너스 업계 평균,마감 일상 채용,서울특별시 강남구 강남대로,https://www.wanted.co.kr/wd/185663
8,,,,고객 목소리 본질 불편 해결 서비스 기획 개발 운영 개선 제품 라이프 사이클 관리 태블릿 관리자 시스템 서비스 기획 정책 설계 실제 운영 과정 분석 어드민 기능 운영 프로세스 개선 유관 부서 요청 사항 분석 순위 일정 산정 로그 관리 시장 조사 고객 요구 사항 분석 신규 제품 기획 개발,자격 요건 온라인 서비스 기획 고객 관점 문제 정의 가설 전략 논리 개발자 디자이너 소통 협업 제품 개발 성공 운영 영업 사업 전략 제휴 법무 이해관계자 소통 협업 여러 순위 설정 효율 관리,우대 사항 깊이 이해 문제 근원 해결 의사소통 실제 운영 프로세스 분석 개선 백오피스 시스템 기획 데이터 의사결정,혜택 복지 유연근무제 시시 코어 근무 최고 효율 용품 최신 사양 장비 기본 모니터 장비 사내 카페 운영 사내 카페 직원 할인 이용 이동 자리 설치 개인 태블릿 음료 주문 도서 구입 교육비 경조사 화환 휴가 기념일 특별 회식비 음료 식비 야근 저녁 식대 교통비 걱정 야근 택시 분기 동호회 활동 모든 소통 마련 타운 데이 다이슨 에어 레쉬 여직원 전용 휴게실,,식대 자기계발 편의 동호회 커피 스낵바 유연 근무 설립 누적 투자 업계 평균,마감 일상 채용,서울시 영등포구 여의대로 파크원 타워,https://www.wanted.co.kr/wd/234330
9,컴퍼니,해외 숙소,,해외 숙소 상품 서비스 기획 담당 달성 정량 정석 분석 깊이 고객 이해 로그 관리 프로 요구사항 성공 지표 설정 달성 아이디어 구체화 개발 테스트 배포 과정 관리 영진 숙소 서비스 리더 운영 합의 주도 파트너 커뮤니케이션 리딩,자격 요건 데이터 중심 기업 환경 수행 분석 사고 데이터 근거 이해관계자 설득 커뮤니케이션 문제 논리 구조 해결 개발 디자인 협업 모바일 서비스 구축 기획 분석,우대 사항 데이터 분석 활용 전문 보유 커머스 유사 분야 근무 개발자 협업 주기 개발,혜택 복지 월요일 출근 여유 주의 시작 자율 시차 출퇴근 오전 사이 자율 출근 식사 사내 식당 조식 중식 사내 카페테리아 음료 사내 동호회 각양각색 취미 동호회 활동 구성원 스스로 본인 근무 형태 재택 근무 오피스 출근 선택 자율 좌석 오피스 출근 좌석 예약 본인 자리 선택 좌석 밀러 오피스 자리 밀러 근무 포인트 매년 포인트 쿠폰 지인 사용 쿠폰 만원 웰컴 키트 환영 의미 가득 웰컴 키트 휴가 입사 휴가 만원 휴가 사내 인재 추천 제도 인재 추천 최대 만원 상금 경조사 조휴 물품 건강 관리 인근 피트니스 센터 비용 무료 건강검진 패키지 매년 만원 상당 건강검진 패키지 영어 호칭 제도 영어 호칭 수평 문화 상호 존중 커뮤니케이션 지향 사유 휴가 사용 눈치 보지 사용 연차,,동호회 휴가 비유 무식 커피 스낵바 건강검진 편의 시설 수평 조직 설립 선도 기업 상위 인원 스톡옵션 육아휴직,마감 일상 채용,서울시 강남구 봉은사로,https://www.wanted.co.kr/wd/208676
